st,occupation,tot_emp,hr_mean,avg_mean
AL,Insurance Sales Agents,"5,550",39.14,"81,410"
AL,"Securities, Commodities, and Financial Services Sales Agents","2,230",39.81,"82,810"
AL,Travel Agents,410,21.67,"45,070"
AL,"Sales Representatives, Services, All Other","7,030",25.39,"52,810"
AL,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","1,830",37.16,"77,280"
AL,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","22,480",31.01,"64,510"
AL,Demonstrators and Product Promoters,"1,230",13.11,"27,270"
AL,Real Estate Brokers,270,*,*
AL,Real Estate Sales Agents,"1,640",25.90,"53,870"
AL,Sales Engineers,260,42.00,"87,350"
AL,Telemarketers,"1,820",12.33,"25,640"
AL,Office and Administrative Support Occupations,"280,290",16.74,"34,810"
AL,First-Line Supervisors of Office and Administrative Support Workers,"19,240",25.98,"54,030"
AL,"Switchboard Operators, Including Answering Service","1,050",11.81,"24,570"
AL,Bill and Account Collectors,"2,850",17.10,"35,570"
AL,Billing and Posting Clerks,"5,700",16.71,"34,760"
AL,"Bookkeeping, Accounting, and Auditing Clerks","21,260",17.91,"37,250"
AL,Payroll and Timekeeping Clerks,"1,870",19.57,"40,700"
AL,Procurement Clerks,650,20.04,"41,690"
AL,Tellers,"9,630",13.38,"27,830"
AL,"Financial Clerks, All Other",210,18.09,"37,640"
AL,Brokerage Clerks,540,24.24,"50,410"
AL,Correspondence Clerks,40,14.25,"29,640"
AL,"Court, Municipal, and License Clerks","2,350",15.30,"31,820"
AL,"Credit Authorizers, Checkers, and Clerks",570,17.50,"36,390"
AL,Customer Service Representatives,"34,750",16.14,"33,580"
AL,"Eligibility Interviewers, Government Programs","2,910",20.01,"41,620"
AL,File Clerks,680,12.16,"25,300"
AL,"Hotel, Motel, and Resort Desk Clerks","4,220",9.95,"20,690"
AL,"Interviewers, Except Eligibility and Loan","3,670",14.81,"30,790"
AL,"Library Assistants, Clerical","1,250",11.44,"23,800"
AL,Loan Interviewers and Clerks,"2,310",16.30,"33,910"
AL,New Accounts Clerks,430,16.73,"34,800"
AL,Order Clerks,770,14.86,"30,900"
AL,"Human Resources Assistants, Except Payroll and Timekeeping","1,120",18.00,"37,450"
AL,Receptionists and Information Clerks,"13,030",12.66,"26,320"
AL,Reservation and Transportation Ticket Agents and Travel Clerks,180,17.69,"36,800"
AL,"Information and Record Clerks, All Other","1,110",20.73,"43,110"
AL,Cargo and Freight Agents,750,24.68,"51,330"
